title,originalTitle,description,genre
Wyścig śmierci 2000,Death Race 2000, Akcja filmu toczy się w niedalekiej przyszłości. Świat zafascynowany jest krwawymi i niebezpiecznymi wyścigami samochodowymi. Cieszą się one wielką popularnością. Ważnym... ,Akcja / Sci-Fi
Klan Sycylijczyków,Le Clan des Siciliens,Korsykański gangster rewanżując się za pomoc w ucieczce pomaga rodzinie gangsterskiej z Sycylii skraść kosztowności zamożnych jubilerów. ,Dramat / Gangsterski
We Are Still Here,,"Po tragicznej śmierci nastoletniego syna Paul i Anne zamieszkują w spokojnej wsi, chcąc rozpocząć wszystko od nowa. ",Horror
10 minut później: Wiolonczela,Ten Minutes Older: The Cello," 10 minut później: wiolonczela jest drugą, po 10 minut później: trąbka, odsłoną jednego z najbardziej niezwykłych przedsięwzięć filmowych ostatnich lat. To film nowelowy,... ",Dramat / Musical / Sci-Fi
Somalijscy piraci,The Pirates of Somalia,"Rok 2009. Początkujący dziennikarz, Jay Bahadur, postanawia wmieszać się w grupę somalijskich piratów, by poznać to, kim są, jak żyją i co ich napędza.",Biograficzny / Dramat
Wirus,,Niewinna zabawa dziecka komputerem uruchamia lawinę zdarzeń sprowadzających zagrożenie dla bezpieczeństwa kraju. Prokurator prowadząca śledztwo werbuje zdolnego informatyka. ,Sensacyjny / Thriller
Indiański biegacz,The Indian Runner,"Frank, młody i porywczy żołnierz, wraca do rodziny. Zostaje przyjęty przez brata, który postanawia pomóc mu w ustabilizowaniu się.",Dramat
Droga bez powrotu. Geneza,Wrong Turn,"Grupa przyjaciół wędrująca po Appalachach napotyka społeczność, która żyje w tym miejscu od setek lat. ",Horror
Cwaniaki z Hollywood,The Comeback Trail,"Producent filmowy postanawia upozorować wypadek aktora, by zdobyć pieniądze na spłatę długu zaciągniętego u mafii.",Komedia kryminalna
Śnieżka i Fantastyczna Siódemka,Re-deu-syu-jeu,"O pocałunek od Śnieżki w czerwonych pantofelkach zabiega siedmiu, zaczarowanych w krasnoludki, królewiczów. ",Animacja / Fantasy / Komedia
Kiedy ją spotkałem,Jab We Met,"Młody przemysłowiec, Aditya, jest załamany ślubem byłej dziewczyny. W przypadkowym pociągu spotyka szaloną Geet, która odmienia jego życie.",Komedia rom.
Książę Czaruś,Charming,"Nad księciem Czarusiem ciąży klątwa, która powoduje, że zakochuje się w nim każda napotkana dziewczyna. Żeby nie stracić prawa do tronu, książę będzie musiał dostosować się do ultimatum ojca i znaleźć miłość życia.",Animacja / Komedia / Musical
Bikini Blue,,"W sielskie życie małżonków, Eryka i Dory, wkrada się choroba oraz bolesna, zatajona przez mężczyznę przeszłość. Kobieta postanawia wyjaśnić dzielącą ich tajemnicę. ",Dramat
Wyścig Armatniej Kuli,The Cannonball Run,Kierowcy biorą udział w nielegalnym wyścigu po szosach i autostradach Stanów Zjednoczonych. ,Komedia / Przygodowy / Akcja
Broad Peak,,Maciej Berbeka podejmuje się wyzwania zimowego wejścia na jeden z najniebezpieczniejszych szczytów świata.,Dramat
Tang Shan Da Di Zhen,," Dziewczynka ocalała po trzęsieniu ziemi opuszcza rodzinę, która myśli, że nie udało jej się przeżyć. ",Dramat
Chromofobia,Chromophobia,Arystokratyczna rodzina starannie skrywa swoje sekrety przed światem. Dzięki przyjacielowi rodziny ich historia zagości na ustach całej okolicy.,Dramat / Thriller
Najlepsi wrogowie,The Best of Enemies,"Rok 1961, Karolina Północna. Lider&nbsp; lokalnego Ku Klux Klanu oraz czarnoskóra działaczka podejmują się konsultacji społecznych, by dojść do porozumienia w kwestii integracji szkolnej.",Dramat
Zagadka przeznaczenia,The City of Your Final Destination,"Młody mężczyzna przyjeżdża na farmę rodziny zmarłego pisarza, aby przekonać jej członków do wydania biografii ich bliskiego.",Dramat
Szalona wyprawa Billa i Teda,Bill &amp; Ted's Bogus Journey," Roboty sobowtóry wysłane z przyszłości zabijają Billa i Teda, aby zmienić przyszłość i nie dopuścić do stworzenia ich muzyki. Przyjaciele trafiają do piekła, ale... ",Fantasy / Komedia / Przygodowy
Zupełnie inne love story,Kærlighed på film, „Zaskakująco nieprzewidywalny”&nbsp; Jonas jest przykładnym mężem i ojcem. Niewiele oczekuje od swojego spokojnego&nbsp; i przewidywalnego życia.&nbsp; Wszystko to wali się niczym&nbsp;... ,Kryminał / Thriller
Duch II: Druga strona,Poltergeist II: The Other Side,"Rodzina Freelingów wprowadza się do nowego domu, gdzie nie jest im dane zaznać spokoju.",Horror
Przygoda na Mariensztacie,,"Hanka, odwiedzając Warszawę, zakochuje się w murarzu rekordziście. Wkrótce wraca do stolicy i podejmuje pracę na budowie, udowadniając, że kobieta też potrafi.",Obyczajowy / Komedia rom.
Wolne miasto,,Gdańscy pracownicy Poczty Polskiej w dniu 1 września 1939 roku stawiają czoła niemieckim agresorom. ,Wojenny
Kobieta z lodu,Bába z ledu,"Samotna wdowa zostaje przyjęta do zespołu morsów, gdzie stopniowo uczy się pokonać strach przed lodowatą wodą. A także ponownie spotka miłość. ",Dramat / Komedia / Romans
Dobre chęci,Den goda viljan," Historia przodków Ingmara Bergmana. W 1909 r. Henrik Bergman, ubogi student teologii zakochuje się w Annie Aakerbloom, pannie z bogatego domu. Młodzi pobierają się, a... ",Biograficzny / Melodramat
Tampopo,,"Kierowca ciężarówki zatrzymuje się w małym, rodzinnym barze makaronowym i decyduje się pomóc jego właścicielom.",Komedia / Western
Tampopo,,"Kierowca ciężarówki zatrzymuje się w małym, rodzinnym barze makaronowym i decyduje się pomóc jego właścicielom.",Komedia / Western
American Pie: Wakacje,American Pie Presents Band Camp," Tym razem uwaga została skupiona na Mattcie Stiflerze, młodszym bracie Steve'a. Po ty, jak został wydalony ze szkoły, Matt zostaje wysłany na obóz letni. Od razu próbuje... ",Komedia
Śledztwo w sprawie obywatela poza wszelkim podejrzeniem,Indagine su un cittadino al di sopra di ogni sospetto,"Tuż przed odejściem na emeryturę policjant morduje niewierną kochankę. Następnie dokłada wszelkich starań, by zostać oskarżonym o popełnienie tej zbrodni. ",Dramat / Kryminał / Thriller
Czas na przyjaźń,The Best Man Holiday,Po piętnastu latach dochodzi do spotkania przyjaciół ze studiów. ,Dramat / Komedia / Świąteczny
Ginger i Fred,Ginger e Fred,"Ginger i Fred to znany w latach czterdziestych duet taneczny. Po kilkudziesięciu latach, bohaterowie spotykają się w Rzymie, aby ponownie razem stanąć na scenie. ",Dramat / Komedia / Obyczajowy / Muzyczny
Kochany urwis 2,Problem Child 2,Ben razem z Juniorem przeprowadza się do miasteczka Mortville. Samotny ojciec szybko zostaje głównym obiektem zainteresowania ze strony sąsiadek. ,Familijny / Komedia
W rękach Boga,Something the Lord Made,Znany kardiolog i jego czarnoskóry współpracownik wykonują pierwszy w historii zabieg u pacjentki z wrodzoną wadą serca. ,Biograficzny / Dramat
Wiosna panie sierżancie,,Milicjant z małego miasteczka przygotowuje się do egzaminu maturalnego. Mieszkańcy jednak dostarczają mu nie lada kłopotów. ,Komedia obycz.
Akcja na Eigerze,The Eiger Sanction,"Były płatny morderca tropi zabójcę swojego przyjaciela. Udaje się na wyprawę alpinistów, wśród których znajduje się oprawca.",Thriller / Akcja
Szczęściarze,Lucky Them,Dziennikarka rockowa dostaje zlecenie wytropienia swojego byłego chłopaka.,Dramat
Chyba kocham swoją żonę,I Think I Love My Wife," Brenda zaniedbuje swojego męża, poświęcając cały czas na karierę i dzieci. Jej mąż Richard nie widzi w tym problemu i nic mu nie przeszkadza, aż do momentu kiedy spotyka... ",Komedia
Boskie jak diabli,Sin noticias de Dios,"Niebo i Piekło, przy pomocy swoich kuszących wysłanniczek, rywalizują o duszę boksera.",Fantasy / Komedia
Bleach: The DiamondDust Rebellion - Mō Hitotsu no Hyōrinmaru,,"Ichigo i jego przyjaciele poszukują złodziei ważnego dla Społeczności Dusz artefaktu, aby oczyścić z zarzutu zdrady kapitana Hitsugayę.",Dramat / Fantasy / Przygodowy / Anime
Podwójne życie,Doubles vies,Członkowie paryskiej bohemy przeżywają kryzys wieku średniego. ,Komedia
Słodka Irma,Irma la Douce,Pilnujący porządku na paryskich ulicach policjant zakochuje się w prostytutce.,Dramat / Komedia
The World Is Yours,Le monde est à toi,"Drobny dealer narkotyków chce rzucić dotychczasowe zajęcie, by założyć mały legalny biznes w Algierii. Potrzebuje na to pieniędzy. ",Komedia kryminalna
Samotny port – miłość,Vuosaari," Vuosaari to wielokulturowe wschodnie przedmieścia Helsinek, gdzie w pewien śnieżny zimowy tydzień krzyżują się drogi kilkorga bohaterów. Ćpunka Iiris i niebieski ptak... ",Dramat
Kuzyni,Les cousins," Do Paryża na studia prawnicze przyjeżdża Charles (Gerard Blain), skromny chłopak ze wsi. Zatrzymuje się u swojego kuzyna Paula (Jean-Claude Brialy), który jest jego... ",Dramat
Basen,Swimming Pool - Der Tod feiert mit,Grupa studentów urządza imprezę na basenie. Wkrótce giną kolejne osoby.,Thriller
Stworzenie,Thale,"Dwóch czyścicieli, Elvis i Leo, spotyka mityczną istotę, norweską huldrę o imieniu Thale.",Fantasy / Thriller
Klub imperatora,The Emperor's Club,"Nauczyciel historii starożytnej staje przed nie lada wyzwaniem, kiedy w jego klasie pojawia się Sedgewick Bell, syn wpływowego senatora. By dotrzeć do krnąbrnego ucznia, pedagog podejmuje trudną decyzję.&nbsp;",Dramat
Anonymous. Historia haktywizmu,We Are Legion: The Story of the Hacktivists, Czym naprawdę jest głośny ostatnimi laty ruch Anonymous: cyber-zagrożeniem czy raczej gwarantem wolnego internetu? Czy jego członkowie to terroryści czy wręcz przeciwnie... ,Dokumentalny
Evidence,,Detektyw tropi mordercę za pomocą materiału wideo nakręconego przez ofiary masakry na opuszczonej stacji benzynowej.,Horror
Marzenia,Es esmu šeit,"Rodzeństwo ukrywa śmierć babci, aby nie znaleźć się w sierocińcu.",Dramat
Opowieść letnia,Conte d'été,Spędzający wakacje nad morzem student czeka na przyjazd swojej dziewczyny. W międzyczasie poznaje uroczą Margot.,Dramat / Komedia / Romans
"Jeanne Dielman, Bulwar Handlowy, 1080 Bruksela","Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles"," Tytułowa Jeanne Dielman to uwięziona w kieracie domowej rutyny samotna matka, okazyjnie dorabiająca prostytucją, chowająca zdobyte w ten sposób pieniądze w wazie na zupę.... ",Dramat
Szczęśliwy książę,The Happy Prince,"Podczas odsiadywania wyroku za kontakty homoseksualne Oscar Wilde podupada na zdrowiu. Gdy opuszcza więzienie, zapomniany i bez funduszy ostatnie dni życia spędza w nędznym paryskim hotelu. ",Biograficzny / Dramat / Komedia
Almanya,Almanya - Willkommen in Deutschland,"Zabawna opowieść o wielopokoleniowej rodzinie Turków, która od wielu lat mieszka w Niemczech. Każdy tutaj ma inne problemy, każdy również czuje przynależność do innej kultury.",Dramat / Komedia
Zaborcza miłość,Hush," Młoda i ciężarna żona Jacksona (G. Paltrow) staje się obiektem szykan jego matki, Marthy (J. Lange), która nie może pogodzić się z utratą syna na rzecz innej kobiety.... ",Dramat / Thriller
Układ prawie idealny,The Next Best Thing,"Abbie zachodzi w ciążę po nocy spędzonej ze swoim przyjacielem, gejem. Razem decydują się na wspólne wychowanie dziecka. ",Komedia rom.
Wielki skok,The Big Bounce," Jack Ryan (Owen Wilson) jest młodym mężczyzną, którego działania nie zawsze są zgodne z prawem. Jest typem, który nie zagrzewa miejsca na długo i ciągle zmienia miejsca... ",Komedia / Kryminał / Akcja
"Psychonauci, zapomniane dzieci","Psiconautas, los niños olvidados","Birdboy i Dinky to dwoje nastolatków, którzy postanowili uciec z wyspy zniszczonej w wyniku katastrofy ekologicznej. Birdboy chce to osiągnąć, odcinając się od świata, a Dinky - wyruszając w niebezpieczną podróż z nadzieją, że Birdboy się do niej przyłączy.",Dramat / Animacja dla dorosłych
Nieznajoma,Complete Unknown,"Alice aranżuje spotkanie z Claydem, opowiadając o swojej egzotycznej podróży i fascynacji żabami. Oczarowany mężczyzna zabiera ją na przyjęcie urodzinowe przyjaciela, który nie ukrywa niechęci do niej.",Dramat
Joy Division,,"Rok 1976, czterech chłopaków z Salford zakłada zespół Warsaw, przemianowany później na Joy Division. Po latach członkowie formacji i znajomi wspominają dawne czasy oraz przedwcześnie zmarłego lidera grupy, Iana Curtisa.",Dokumentalny / Muzyczny
Umrzeć powtórnie,Dead Again,"Detektyw Mike Church poszukuje zaginionych osób. Wkrótce otrzymuje zlecenie, by odkryć tożsamość kobiety, która nie pamięta kim jest.",Thriller / Romans
Nieśmiertelny IV: Ostatnia rozgrywka,Highlander: Endgame," Czwarta część popularnego cyklu opowiadającego o losach Connora MacLeod, nieśmiertelnego zmuszonego do wielowiekowej walki z innymi nieśmiertelnymi. Tym razem jego... ",Fantasy / Akcja
Harvey,,"Elwood P. Dowd jest miłym, dobrze wychowanym człowiekiem, który spotyka się ze swoim niewidzialnym przyjacielem, wysokim na 6 stóp królikiem. Jego rodzina zaczyna się tym niepokoić. ",Familijny / Fantasy / Komedia
Inne spojrzenie,Egymásra nézve, Dwa lata po zakończeniu rewolucji 1956 roku na Węgrzech jej echa jeszcze nie przebrzmiały. Jednak wolność słowa i wolność jednostki to nadal tylko puste słowa. W tym... ,Biograficzny / Dramat
Wspaniały Buck Howard,The Great Buck Howard," Niedoszły absolwent prawa, marzący o karierze pisarza młodzieniec z dobrego domu, Troy Gable (Colin Hanks), poszukuje pracy oraz sensu życia. Odpowiada na anons,... ",Dramat / Komedia obycz.
Rex Mundi,," ""Rex Mundi"" to opowieść, która zawiera w sobie alternatywną wizję świata. Jest rok 1933, a reformacja nie doszła do skutku. Kościół katolicki sprawuje władzę w Europie i... ",Dramat / Fantasy
XOXO,,"Na festiwalu muzyki elektronicznej splatają się losy młodego DJ-a, jego wiernego kumpla, niepoprawnej romantyczki, skłóconej pary i&nbsp;żyjącego przeszłością malkontenta.",Dramat / Muzyczny
"Znam kogoś, kto cię szuka",Crache coeur,Józef postanawia odnaleźć swojego syna. O pomoc prosi zakochaną w nim nastoletnią Rose.,Dramat
Z,,"Podczas demonstracji polityk związany z lewicową partią zostaje śmiertelnie pobity. Prokuratura wmawia opinii publicznej, że był to wypadek drogowy. ",Thriller / Polityczny / Dramat historyczny
Kwiat tysiąca i jednej nocy,Il Fiore delle mille e una notte,"Chłopiec zakochuje się w niewolnicy, która bierze go za swojego pana. Wbrew zakazowi dziewczyny młodzieniec sprzedaje na targu kobierzec, co prowadzi do rozdzielenia pary.",Dramat / Erotyczny / Fantasy / Komedia
Wspomnienia niewidzialnego człowieka,Memoirs of an Invisible Man,W wyniku nieszczęśliwego wypadku Nick staje się niewidzialny.,Komedia / Sci-Fi
Zieleń szmaragdu,Smaragdgrün,"Gwendolyna Shepherd po ostatnich przeżyciach ma problemy osobiste. Pytanie, czy dalej powinna walczyć, czy odpóścić, nie jest jej jedynym problemem. ",Fantasy / Przygodowy
Kaliber 45,.45,Kat po kolejnym upokorzeniu przez męża postanawia się na nim zemścić.,Dramat / Thriller
Zemsta po śmierci,Rise," Pewnego dnia, po przebudzeniu, młoda reporterka (Lucy Liu), stwierdza, że znajduje się w kostnicy. Kiedy okazuje się, że naprawdę nie żyje, postanawia zemścić się za... ",Horror
Dismissed,,"Nauczyciel angielskiego popada w kłopoty, gdy jeden z jego uczniów jest skłonny zrobić wszystko, by dostać szóstkę.",Thriller
Moje skarby,Mes trésors," Carole jest introwertyczką, której całe życie wypełnia praca za komputerem. Caroline to jej zupełne przeciwieństwo. Seksowna i przebojowa, nie waha się używać swych... ",Komedia
Mała księżniczka,The Little Princess," Kapitan Crewe, wdowiec, zostaje wezwany na wojnę w Afryce Zachodniej, i na czas swojej nieobecności umieszcza córkę Sarę w ekskluzywnej pensji dla panien. Gdy z frontu... ",Dramat / Familijny / Musical
Theeb,,Brytyjski oficer najmuje beduina w celu poprowadzenia niebezpiecznej wyprawy w kierunku odległej studni. Do karawany skrycie dołącza młodszy brat przewodnika. ,Dramat / Przygodowy
Bariera,," Student porzuca dotychczasowe życie w akademiku i rusza w Polskę w poszukiwaniu ""innego życia"". Jego marzeniem jest małżeństwo z bogatą kobietą, willa oraz dobry... ",Dramat / Psychologiczny
Szyfry,,"Tadeusz wraca do kraju po latach spędzonych za granicą. Na miejscu okazuje się, że nie może zrozumieć otaczającej go nowej rzeczywistości ani bliskich, których kiedyś opuścił.",Dramat / Psychologiczny
Frances,,Młoda aktorka Frances Farmer szokuje Hollywood swoim niekonwencjonalnym zachowaniem.,Biograficzny / Dramat
Na zawsze razem,Amanda,"Po nagłej śmierci siostry David musi zaopiekować się jej siedmioletnią córeczką, Amandą.",Dramat
Dragon Ball: Wielka tajemnicza przygoda,Dragon Ball: Makafushigi Daibōken, Kuririn i Goku wybierają się z Genialnym Żółwiem do miasta Miifan na Turniej Sztuk Walki. W tym mieście imperatorem jest młodziutki Chaotzu. Jak się okazuje za jego... ,Przygodowy / Anime
Mr. Jones,,"Historia miłości mężczyzny chorego na depresję maniakalną i kobiety, która jest zainteresowana jego chorobą. Rodzi to dramat, ponieważ w imię miłości Elisabeth łamie zasady etyki lekarskiej. ",Melodramat / Obyczajowy
Sieć podejrzeń,Spinning Man,"Profesor, który ma opinię kobieciarza, staje się głównym podejrzanym zabójstwa studentki.",Thriller
Belgica,,Dwaj bracia rozkręcają spelunę o nazwie Belgica. Szybko udaje się im dojść na sam szczyt. ,Dramat
Szpieg,Gong-jak,"Suk-young Park, były oficer wojskowy pracujący dla południowokoreańskiego wywiadu, zostaje wysłany na misję szpiegowską do znajdującego się w Korei Północnej obiektu jądrowego.",Akcja
Upadek Cesarstwa Rzymskiego,The Fall of the Roman Empire,"Kommodus, po podstępnym zleceniu zabójstwa swojego ojca Marka Aureliusza, obejmuje rządy w Cesarstwie Rzymskim, które dają początek upadkowi imperium.",Kostiumowy / Dramat historyczny
Tucker - konstruktor marzeń,Tucker: The Man and His Dream,"Błyskotliwy wynalazca zamierza zrewolucjonizować świat motoryzacji, projektując samochód przyszłości. ",Biograficzny / Dramat
Dorwać Gunthera,Killing Gunther,Grupa młodych zabójców postanawia zabić niejakiego Gunthera - najbardziej niesławnego seryjnego mordercę w branży.,Komedia / Akcja
Far Cry,,"Były żołnierz Jack dostaje zadanie przetransportowania na pobliską wyspę dziennikarki Valerie. Niebawem, żeby przetrwać i ocalić dziewczynę, musi stawić czoła żołnierzom, którymi kieruje doktor Krieger.",Akcja
Agnozja,Agnosia,"Cierpiąca na agnozję dziewczyna pada ofiarą intrygi mężczyzn, którzy chcą zdobyć fortunę jej ojca.",Dramat / Thriller
Wąż i tęcza,The Serpent and the Rainbow,"Na zlecenie firmy farmaceutycznej, Dennis Allan udaje się na Haiti, aby zbadać działanie tajemniczego proszku, który zamienia ludzi w zombie. ",Horror
Mój wujaszek,Mon oncle,Nowoczesna technika płata figle panu Hulotowi. ,Komedia
Optymistki,Optimistene," ""Optymistki"" to niezwykła drużyna siatkarska! &nbsp; W jej skład wchodzą panie w wieku od 66 do 98 lat. Pomimo odbywanych co tydzień treningów, od trzydziestu lat nie zagrały... ",Dokumentalny
Wojenny biznes,"War, Inc.","Brand płatny zabójca dostaje zlecenie od amerykańskiego rządu, aby zabić potentata naftowego Sherifa.",Komedia / Sensacyjny
The ABCs of Death,,"Dwadzieścia sześć nowel, których tematem przewodnim jest śmierć.",Horror
Posterunek graniczny,Karaula,"Na niewielkim posterunku na granicy jugosłowiańsko-albańskiej kolejne pokolenie żołnierzy nudzi się i czeka na koniec służby, licząc dni do chwili, gdy na dobre zrzucą mundury. Nikomu nawet nie przychodzi do głowy, że wkrótce znów je włożą.",Dramat / Komedia / Akcja
The Slaughter Rule,, Po śmierci swojego ojca Roy Chutney zostaje wyrzucony ze szkolnej drużyny futbolowej. W samotnym i biernym życiu jakie prowadzi sport jest jego jedyną odskocznią i... ,Dramat / Sportowy
Carlos,,"Rok 1975. Terrorysta dokonuje ataku na szczyt OPEC w Wiedniu, stając się poszukiwanym przez wywiady państw zachodnich i Izraela.",Biograficzny / Kryminał / Dramat historyczny
Doodlebug,,"Młody mężczyzna próbuje zabić za pomocą buta tajemnicze ""coś"", przemieszczające się po jego pokoju. ",Fantasy / Krótkometrażowy
Lola Versus,,"Dwudziestodziewięcioletnia Lola próbuje poradzić sobie ze smutną rzeczywistością po tym, jak porzucił ją będący w długim związku chłopak. ",Komedia
Like Minds,,"Psycholog Sally próbuje wniknąć w umysł Alexa, aby ustalić, czy podejrzany o zabójstwo kolegi chłopak faktycznie jest winny.",Dramat / Kryminał / Thriller
Like Minds,,"Psycholog Sally próbuje wniknąć w umysł Alexa, aby ustalić, czy podejrzany o zabójstwo kolegi chłopak faktycznie jest winny.",Dramat / Kryminał / Thriller
Bodom,,"Czwórka nastolatków wybiera się nad jezioro Bodom, by odtworzyć scenę brutalnego morderstwa sprzed lat.",Horror
Wierna rzeka,,"Salomea udziela schronienia księciu Odrowążowi, czym naraża swoje życie i serce na niebezpieczeństwo. ",Historyczny / Melodramat
Maksymalne przyspieszenie,Maximum Overdrive,"Niecodzienne zjawisko kosmiczne sprawia, że maszyny stają się niebezpieczne dla ludzi. ",Horror / Akcja / Sci-Fi
Modlitwy za Bobby'ego,Prayers for Bobby,"Młody homoseksualista Bobby, próbuje uzyskać akceptację głęboko wierzącej matki. ",Biograficzny / Dramat
Dorwać Wattsa,Jue Di Tao Wang,"Detektyw z Hongkongu&nbsp;dołącza do amerykańskiego hazardzisty, aby poskromić chińskiego kryminalistę.",Komedia / Akcja
Oficer Blart w Las Vegas,Paul Blart: Mall Cop 2,"Paul Bart przyjeżdża do Las Vegas na spotkanie ochroniarzy, gdzie jest świadkiem napadu. Postanawia wyruszyć za przestępcami. ",Komedia
Cud w wiosce Sant Anna,Miracle at St. Anna," Film opowiada historię żołnierzy z 92 Dywizjonu, którzy walczyli przeciwko nazistom w okolicach Toskanii. Jeden z nich nawiązuje przyjaźń z osieroconym sześcioletnim... ",Dramat / Wojenny
Taran i magiczny kocioł,The Black Cauldron,"Młody świniopas marzy o tym, aby zostać rycerzem. Świnka, którą się opiekuje, ma magiczne zdolności i z tego powodu poluje na nią okrutny Rogaty Król.",Animacja / Baśń
Teksańska masakra piłą mechaniczną: Następne pokolenie,The Return of the Texas Chainsaw Massacre,"Czworo nastolatków&nbsp;uczestniczy w stłuczce.&nbsp;Szukając pomocy, trafiają do domu rodziny kanibali.",Horror / Komedia
Jaguar,Le jaguar,"Francuski naukowiec, indiański szaman i uzależniony od hazardu amant, wyruszają we wspólną podróż do samego serca amazońskiej dżungli.",Przygodowy
Na wysokości,Altitude,Grupa przyjaciół postanawia udać się na koncert samolotem. W trakcie lotu mają miejsce dziwne wydarzenia. ,Horror / Sci-Fi
"Paweł, apostoł Chrystusa","Paul, Apostle of Christ"," Barwna opowieść o św. Pawle to historia jednego z najzagorzalszych przeciwników Chrystusa, nawróconego faryzeusza, który dzięki swej wierze i oddaniu stał się... ",Historyczny
Banquet: 100 dni cesarza,Ye yan," W roku 907 naszej ery, Chiny - potężne imperium dynastii Tang, zaczyna podupadać. W całym kraju wzniecane są zamieszki, a najwyżsi urzędnicy państwowi zamiast tłumić... ",Dramat historyczny
Sonic 2: Szybki jak błyskawica,Sonic the Hedgehog 2,Sonic wraz z przyjaciółmi muszą powstrzymać złego doktora Robotnika przed zawładnięciem światem. W tym celu muszą odnaleźć magiczny szmaragd. ,Animacja / Przygodowy
Tristana,,Arystokrata Don Lope sprawuje opiekę nad osieroconą siostrzenicą Tristaną. Wkrótce ojcowskie uczucie przeradza się w pożądanie.,Dramat
Belladonna smutku,Kanashimi no Beradona," Jan i Joanna to młoda para, mieszkająca na wsi w średniowiecznej Francji. Ich szczęście kończy się w noc poślubną, gdy lokalny feudał gwałci Joannę, co wywołuje u... ",Dramat / Surrealistyczny / Anime
Noc i mgła,Nuit et brouillard," ""Noc i mgła"" to jeden pierwszych filmów dokumentalnych poświęconych obozom śmierci w nazistowskich Niemczech. Alain Resnais łączy w nim archiwalne nagrania wykonane w... ",Dokumentalny / Wojenny / Krótkometrażowy
Wróć do mnie,Return to Me,"Kiedy żona Boba ginie w wypadku, jej serce zostaje oddane do przeszczepu. Rok później Bob poznaje kobietę, z którą odczuwa silną więź.",Komedia / Obyczajowy / Romans
Wróć do mnie,Return to Me,"Kiedy żona Boba ginie w wypadku, jej serce zostaje oddane do przeszczepu. Rok później Bob poznaje kobietę, z którą odczuwa silną więź.",Komedia / Obyczajowy / Romans
Małe jest piękne,Tiptoes,"Steven przyszedł na świat w rodzinie karłów, choć sam jest normalnego wzrostu. Gdy jego narzeczona informuje go o ciąży, pojawiają się obawy dotyczące stanu zdrowia i przyszłości dziecka. ",Dramat / Komedia / Obyczajowy / Romans
Gorzkie łzy Petry von Kant,Die Bitteren Tränen der Petra von Kant," Film opowiada o homoseksualnym związku trzech kobiet. Ukazuje relacje pomiędzy zaborczą projektantką mody Petrą von Kant (Margit Carstensen), a jej oddaną asystentką... ",Dramat
Zanim spadnie deszcz,Before the Rain," Film przedstawia trzy powiązane ze sobą historie z okresu konfliktów między Macedończykami a Albańczykami. Część ""Słowa"" toczy się w prawosławnym męskim klasztorze na... ",Dramat / Wojenny
Nieugięci,Mulholland Falls,Czterech nieprzekupnych policjantów rozpoczyna śledztwo dotyczące morderstwa prostytutki.,Dramat / Kryminał
Dune: Part Two,,"Książę Paul Atryda przyjmuje przydomek Muad'Dib i rozpoczyna duchowo-fizyczną podróż, by stać się przepowiedzianym w proroctwie wyzwolicielem ludu Diuny. ",Sci-Fi
Czarny dzień w Black Rock,Bad Day at Black Rock,"Do niewielkiego miasteczka przybywa mężczyzna, który poszukuje japońskiego farmera. Podczas rozglądania się po okolicy natrafia na ślady okrutnej zbrodni. ",Dramat / Western
Żyleta,Barb Wire,Żyleta otrzymuje zadanie przetransportowania do Kanady badaczki posiadającej lek przeciwko groźnej broni biologicznej. ,Sensacyjny / Sci-Fi
Wizje,Yogen,W wypadku samochodowym mężczyzna traci córkę. Trzy lata później odkrywa tajemnicę związaną z przepowiedniami.,Thriller
Donikąd,Nowhere," Grupa nastolatków próbuje wykorzystać swoje życie do granic możliwości. W tym celu robią makabryczne i dziwaczne rzeczy aby dostarczyć sobie doznań i emocji, miedzy... ",Dramat / Komedia / Sci-Fi
W pętli ryzyka i fantazji,Gūzen to Sōzō,"Los sprawia, że życie trzech kobiet toczy się inaczej, niż sobie zaplanowały.",Melodramat
Równowaga,Balance,Pięć postaci próbuje zachować równowagę na platformie. ,Dramat / Krótkometrażowy / Animacja dla dorosłych
Cukiereczek,Jawbreaker,"Trzy najpopularniejsze w szkole uczennice dla żartów porywają swoją przyjaciółkę, która wskutek zakneblowania zadławia się wepchniętym do ust cukierkiem.",Komedia kryminalna
Not Another Happy Ending,," Wydawca próbuje unieszczęśliwić pisarkę, by przełamać jej twórczą blokadę. Im bliżej jest celu, tym bardziej dociera do niego, że się zakochał. ",Komedia
Złe spojrzenia,Nothing Is Private, Akcja filmu rozgrywa się w latach 90. w okresie pierwszej wojny w Zatoce Perskiej. Jego bohaterką jest dorastająca Jasira. Jej rodzice żyją w separacji. Ojciec to... ,Dramat
Duchy kanionu,The Darkness,"Z wycieczki do Wielkiego Kanionu rodzina Taylorów przywozi niecodzienną pamiątkę, złe duchy.",Horror
Subtelność,L'hermine,"Sędzia, mimo wydanego przez opinię publiczną wyroku, postanawia uważnie przyjrzeć się prowadzonej sprawie. ",Dramat / Komedia
Cała prawda o Szekspirze,All Is True,"Po tym, jak Globe Theatre spłonął podczas przedstawienia ""Henryka VIII"", Szekspir wraca do&nbsp;żony Anne Hathaway. W Stratford spędza swoje ostatnie dni.",Biograficzny / Dramat / Historyczny
